"Player_Name","Player_State","Total_Points","Player_Pre_Rating","Average_Opponent_Pre_Rating"
" GARY HUA                        ","   ON ","6.0  ",1794,1605.28571428571
" DAKSHESH DARURI                 ","   MI ","6.0  ",1553,1561.33333333333
" ADITYA BAJAJ                    ","   MI ","6.0  ",1384,1665
" PATRICK H SCHILLING             ","   MI ","5.5  ",1716,1573.57142857143
" HANSHI ZUO                      ","   MI ","5.5  ",1655,1587.66666666667
" HANSEN SONG                     ","   OH ","5.0  ",1686,1518.71428571429
" GARY DEE SWATHELL               ","   MI ","5.0  ",1649,1538
" EZEKIEL HOUGHTON                ","   MI ","5.0  ",1641,1468.42857142857
" STEFANO LEE                     ","   ON ","5.0  ",1411,1634.83333333333
" ANVIT RAO                       ","   MI ","5.0  ",1365,1554.14285714286
" CAMERON WILLIAM MC LEMAN        ","   MI ","4.5  ",1712,1467.57142857143
" KENNETH J TACK                  ","   MI ","4.5  ",1663,1506.16666666667
" TORRANCE HENRY JR               ","   MI ","4.5  ",1666,1497.85714285714
" BRADLEY SHAW                    ","   MI ","4.5  ",1610,1515
" ZACHARY JAMES HOUGHTON          ","   MI ","4.5  ",1220,1483.85714285714
" MIKE NIKITIN                    ","   MI ","4.0  ",1604,1385.8
" RONALD GRZEGORCZYK              ","   MI ","4.0  ",1629,1498.57142857143
" DAVID SUNDEEN                   ","   MI ","4.0  ",1600,1480
" DIPANKAR ROY                    ","   MI ","4.0  ",1564,1508.16666666667
" JASON ZHENG                     ","   MI ","4.0  ",1595,1410.85714285714
" DINH DANG BUI                   ","   ON ","4.0  ",1563,1470.42857142857
" EUGENE L MCCLURE                ","   MI ","4.0  ",1555,1373.4
" ALAN BUI                        ","   ON ","4.0  ",1363,1555.75
" MICHAEL R ALDRICH               ","   MI ","4.0  ",1229,1422
" LOREN SCHWIEBERT                ","   MI ","3.5  ",1745,1363.28571428571
" MAX ZHU                         ","   ON ","3.5  ",1579,1506.85714285714
" GAURAV GIDWANI                  ","   MI ","3.5  ",1552,1493.25
" SOFIA ADINA STANESCU-BELLU      ","   MI ","3.5  ",1507,1522.14285714286
" CHIEDOZIE OKORIE                ","   MI ","3.5  ",1602,1389.2
" GEORGE AVERY JONES              ","   ON ","3.5  ",1522,1223.8
" RISHI SHETTY                    ","   MI ","3.5  ",1494,1317
" JOSHUA PHILIP MATHEWS           ","   ON ","3.5  ",1441,1449.33333333333
" JADE GE                         ","   MI ","3.5  ",1449,1328.5
" MICHAEL JEFFERY THOMAS          ","   MI ","3.5  ",1399,1686.25
" JOSHUA DAVID LEE                ","   MI ","3.5  ",1438,1347.2
" SIDDHARTH JHA                   ","   MI ","3.5  ",1355,1388.16666666667
" AMIYATOSH PWNANANDAM            ","   MI ","3.5  ",NA,1492.25
" BRIAN LIU                       ","   MI ","3.0  ",1423,1539.16666666667
" JOEL R HENDON                   ","   MI ","3.0  ",1436,1429.57142857143
" FOREST ZHANG                    ","   MI ","3.0  ",1348,1480.16666666667
" KYLE WILLIAM MURPHY             ","   MI ","3.0  ",1403,1612
" JARED GE                        ","   MI ","3.0  ",1332,1225.4
" ROBERT GLEN VASEY               ","   MI ","3.0  ",1283,1303.2
" JUSTIN D SCHILLING              ","   MI ","3.0  ",1199,1421.8
" DEREK YAN                       ","   MI ","3.0  ",1242,1236
" JACOB ALEXANDER LAVALLEY        ","   MI ","3.0  ",NA,1357.71428571429
" ERIC WRIGHT                     ","   MI ","2.5  ",1362,1464.83333333333
" DANIEL KHAIN                    ","   MI ","2.5  ",1382,1461
" MICHAEL J MARTIN                ","   MI ","2.5  ",1291,1378
" SHIVAM JHA                      ","   MI ","2.5  ",1056,1479.8
" TEJAS AYYAGARI                  ","   MI ","2.5  ",1011,1356.14285714286
" ETHAN GUO                       ","   MI ","2.5  ",NA,1494.57142857143
" JOSE C YBARRA                   ","   MI ","2.0  ",1393,1345.33333333333
" LARRY HODGE                     ","   MI ","2.0  ",1270,1357.25
" ALEX KONG                       ","   MI ","2.0  ",1186,1406
" MARISA RICCI                    ","   MI ","2.0  ",1153,1414.4
" MICHAEL LU                      ","   MI ","2.0  ",1092,1363
" VIRAJ MOHILE                    ","   MI ","2.0  ",NA,1391
" SEAN M MC CORMICK               ","   MI ","2.0  ",NA,1319
" JULIA SHEN                      ","   MI ","1.5  ",NA,1330.2
" JEZZEL FARKAS                   ","   ON ","1.5  ",NA,1385.16666666667
" ASHWIN BALAJI                   ","   MI ","1.0  ",1530,1186
" THOMAS JOSEPH HOSMER            ","   MI ","1.0  ",1175,1350.2
" BEN LI                          ","   MI ","1.0  ",1163,1410.66666666667
